股票代碼,背離日期
8163,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
8201,"[Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei')]"
8201,"[Timestamp('2025-03-12 00:00:00+0800', tz='Asia/Taipei')]"
8466,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
9103,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
9910,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei')]"
9910,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-13 00:00:00+0800', tz='Asia/Taipei')]"
9918,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
9937,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
9945,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
